Wavelength (A)	Intensity [J/eV/sr/cm^2]
 5.93223E+00	 1.52767E-04
 5.93246E+00	 1.44864E-04
 5.93268E+00	 1.41763E-04
 5.93291E+00	 1.55679E-04
 5.93314E+00	 1.71703E-04
 5.93337E+00	 1.84814E-04
 5.93360E+00	 1.87154E-04
 5.93383E+00	 1.82512E-04
 5.93406E+00	 1.64165E-04
 5.93429E+00	 1.39801E-04
 5.93452E+00	 1.23656E-04
 5.93475E+00	 1.42422E-04
 5.93498E+00	 1.64034E-04
 5.93521E+00	 1.67930E-04
 5.93544E+00	 1.61441E-04
 5.93567E+00	 1.56290E-04
 5.93590E+00	 1.54399E-04
 5.93613E+00	 1.55049E-04
 5.93636E+00	 1.67039E-04
 5.93659E+00	 2.16618E-04
 5.93682E+00	 2.64642E-04
 5.93705E+00	 2.99929E-04
 5.93728E+00	 3.23960E-04
 5.93751E+00	 3.47187E-04
 5.93774E+00	 2.69977E-04
 5.93797E+00	 1.81686E-04
 5.93820E+00	 1.14293E-04
 5.93843E+00	 1.12471E-04
 5.93866E+00	 1.10575E-04
 5.93889E+00	 1.12320E-04
 5.93912E+00	 1.17816E-04
 5.93935E+00	 1.23258E-04
 5.93958E+00	 1.23231E-04
 5.93981E+00	 1.23217E-04
 5.94004E+00	 1.26316E-04
 5.94027E+00	 1.36504E-04
 5.94050E+00	 1.46565E-04
 5.94073E+00	 1.39532E-04
 5.94096E+00	 1.21230E-04
 5.94119E+00	 1.03229E-04
 5.94142E+00	 1.25432E-04
 5.94165E+00	 1.50487E-04
 5.94188E+00	 1.79298E-04
 5.94211E+00	 2.17839E-04
 5.94234E+00	 2.56248E-04
 5.94257E+00	 2.79901E-04
 5.94280E+00	 2.94707E-04
 5.94303E+00	 3.10502E-04
 5.94326E+00	 3.03973E-04
 5.94349E+00	 2.96038E-04
 5.94372E+00	 2.73581E-04
 5.94394E+00	 2.39184E-04
 5.94417E+00	 2.04948E-04
 5.94440E+00	 1.96530E-04
 5.94463E+00	 1.98252E-04
 5.94486E+00	 2.02327E-04
 5.94509E+00	 2.09540E-04
 5.94532E+00	 2.16701E-04
 5.94555E+00	 2.18475E-04
 5.94578E+00	 2.10242E-04
 5.94601E+00	 2.01998E-04
